Latitude,Longitude,CO,CO2,EC,NMVOC,NH3,NO2,OC,SO2,SO4
-67.0,-67.0,0.0005373608906769057,0.15535636192180455,1.803941632875e-05,0.00033868686295085285,6.515859375e-07,0.0044689082597285795,6.352583655930939e-05,9.391708164375e-05,2.25492704109375e-06
-67.0,-0.0,0.000407,0.25740974,2.9600000000000005e-05,0.00014800000000000002,1.11e-06,0.00511266,7.400000000000001e-05,0.0001554,3.7000000000000006e-06
-67.0,4.0,0.00520708692657744,3.1262944975682267,0.00036720493484085966,0.002008832041816682,1.3618412494175999e-05,0.06250938445494368,0.0009469989995615838,0.0018929846742042984,4.590061685510746e-05
-67.0,121.0,0.00043583958258610017,0.2865685196516638,3.460100112918324e-05,0.0001921089011755,1.1886534070530001e-06,0.00525370627893916,8.850012919557893e-05,0.0001742050056459162,4.325125141147905e-06
-66.0,5.0,0.0009030835392887604,0.9887690483275788,9.840080195092478e-05,0.00034208293619073844,4.1900234946559995e-06,0.011074616681863969,0.0002460066822560809,0.000601604009754624,1.7300100243865594e-05
-66.0,73.0,0.00031460000000000017,0.198970772,2.2880000000000005e-05,0.00011440000000000004,8.580000000000002e-07,0.003951947999999999,5.720000000000002e-05,0.00012011999999999998,2.86e-06
-66.0,110.0,0.11947725257338535,67.5255460956725,0.007884113737434079,0.047517087032891314,0.00028651684660163093,1.3590189006545337,0.02295953319294296,0.04085256868717041,0.0009855142171792599
-65.0,-64.0,0.06219869653074499,33.11729280928461,0.003855891377482417,0.026024339413883008,0.000141076339611426,0.6861153974906498,0.011273346795580107,0.020027896887412085,0.0004819864221853021
-65.0,-63.0,0.0938657621698051,50.09941229518041,0.0059492394753958774,0.0390725267797507,0.00021546388607363102,1.0272405536728322,0.0175848243547475,0.030382597376979383,0.0007436549344244848
-65.0,-62.0,0.023776308282584164,12.165080816958357,0.0014255020949084315,0.010135675867830473,5.203005806146201e-05,0.25490690793305376,0.004332503132026716,0.007363550474542155,0.0001781877618635539
-65.0,4.0,0.0017207463651241091,1.1045337327768454,0.00012946451315695826,0.0006257344216425004,4.692896512919999e-06,0.021286372685451447,0.00032663488152803066,0.0006686025657847909,1.6183064144619775e-05
-65.0,5.0,0.0009893129154287992,0.989590751886788,9.875370021292858e-05,0.00038720595863374574,4.170198428504e-06,0.011234523618765018,0.0002741436070242272,0.0006022885010646428,1.734421252661607e-05
-65.0,10.0,0.006470398950461067,4.46790478700162,0.0005000030878159874,0.0023653680125337068,1.9200090463359005e-05,0.08103500899596032,0.0012500257292267132,0.0027015140787776,6.700038597699841e-05
-65.0,122.0,0.00406652495382522,2.5532955664057955,0.00030601818254258567,0.0017523128223190187,1.0734920507505002e-05,0.04806975996742692,0.0008781091456065042,0.0015504909127129285,3.825227281782321e-05
-64.0,-63.0,0.002353540731568773,1.3628187962490248,0.0001597704747803995,0.0009682454278191553,5.695844880342001e-06,0.0270791590094287,0.00043184669918061537,0.0008249723739019978,1.997130934754994e-05
-64.0,-62.0,0.033957566276958236,18.70438263942009,0.0022209141410367865,0.013839760107849557,8.2187214640926e-05,0.38540382521552097,0.0061654186921552435,0.011343050705183929,0.0002776142676295983
-64.0,-61.0,0.026420166314914208,15.696032909416926,0.00189996589339098,0.009769132025075535,7.0434072459618e-05,0.3126940915186118,0.00493946373149611,0.0095451094669549,0.00023749573667387246
-64.0,-57.0,0.009660165192350832,4.6676715014053896,0.0005429032190746488,0.0042811332673486574,1.9606968724499995e-05,0.0994099612020823,0.0020069006729395104,0.002822396095373243,6.786290238433111e-05
-64.0,-56.0,0.005586030762446171,3.1707089794928875,0.00036939871052665124,0.002254774394069309,1.3473311580000005e-05,0.06413711930487287,0.0010256135633313645,0.001917673552633256,4.6174838815831406e-05
-64.0,4.0,0.0004092,0.258801144,2.9760000000000013e-05,0.0001488,1.1160000000000002e-06,0.005140295999999999,7.44e-05,0.00015623999999999998,3.72e-06
-64.0,70.0,0.0002200000000000001,0.1391404,1.6e-05,8e-05,6e-07,0.0027636,4e-05,8.4e-05,2e-06
-64.0,72.0,0.0060368180846660366,3.7388871586953263,0.0004374913494144001,0.0022283696523154035,1.6275660627375005e-05,0.07421574735177695,0.00110618814899561,0.002262696747072,5.4686418676800014e-05
-63.0,-61.0,0.007463831075263367,4.627345993808371,0.0005427431655655848,0.0027190889367648273,2.0273786588241e-05,0.09191045816632497,0.001375159354410544,0.002801315827827927,6.784289569569813e-05
