CIESINCODE_GPW,ISOCODE_GPW,Location_GPW,location_id_GBD,ISOCODE_GBD,Location_GBD,GBD_GPW,location_name_GBD,cause_id_GBD,cause_name_GBD,num_val,num_upper,num_lower,pop_25plus_GBD,rate_country_25plus_val,rate_country_25plus_val_upper,rate_country_25plus_val_lower
292,GIB,Gibraltar,1,GIB,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
312,GLP,Guadeloupe,104,GLP,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
254,GUF,French Guiana,134,GUF,Tropical Latin America,N,Tropical Latin America,409,Non-communicable diseases,939539.010403,944951.1758989999,934043.8837359999,128851001.33344892,729.167022902368,733.3673515300005,724.9023089225524
904,HMD,Heard Island and McDonald Islands,1,HMD,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
833,IMN,Isle of Man,95,IMN,United Kingdom,N,United Kingdom,409,Non-communicable diseases,529114.525669,530758.200604,527603.35143,46051502.984841615,1148.9625557783947,1152.5317659636542,1145.6810684412771
905,IOT,British Indian Ocean Territory,1,IOT,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
832,JEY,Jersey,95,JEY,United Kingdom,N,United Kingdom,409,Non-communicable diseases,529114.525669,530758.200604,527603.35143,46051502.984841615,1148.9625557783947,1152.5317659636542,1145.6810684412771
659,KNA,Saint Kitts and Nevis,104,KNA,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
999,KOS,Kosovo,44563,KOS,Europe,N,African Region,409,Non-communicable diseases,2161506.7092,2306630.8150000004,2033944.62026,373766303.9035491,578.3043272295032,617.1318256648491,544.1754912141204
438,LIE,Liechtenstein,1,LIE,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
663,MAF,Saint-Martin (French part),1,MAF,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
492,MCO,Monaco,1,MCO,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
500,MSR,Montserrat,104,MSR,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
474,MTQ,Martinique,104,MTQ,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
175,MYT,Mayotte,1,MYT,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
540,NCL,New Caledonia,1,NCL,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
574,NFK,Norfolk Island,1,NFK,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
570,NIU,Niue,1,NIU,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
520,NRU,Nauru,1,NRU,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
612,PCN,Pitcairn,1,PCN,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
585,PLW,Palau,1,PLW,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
