Station ID,Latitude,Longitude,PM25
CN_1040A,39.6578,118.1838,87.986
CN_1041A,39.6295,118.1997,88.6813
CN_1038A,39.6407,118.1853,83.5689
CN_1039A,39.6679,118.2185,85.5181
CN_1037A,39.643,118.144,84.4456
XCNAQ808,34.4286,115.6697,75.7656
XCNAQ810,34.4069,115.6386,78.8632
XCNAQ811,34.402,115.6578,73.6129
XCNAQ809,34.429,115.6558,69.7359
XCNAQ1032,33.6263,109.9426,41.9913
XCNAQ1031,33.8715,109.9154,42.8312
XCNAQ532,39.771,98.2908,30.0266
XCNAQ533,39.8578,98.2542,33.1045
XCNAQ1071,36.021,106.2375,35.7869
XCNAQ1070,36.0022,106.2792,40.3404
XCNAQ1069,36.1417,106.2319,39.1246
XCNAQ056,40.0758,113.2994,39.8885
XCNAQ059,40.0917,113.3444,38.2213
XCNAQ057,40.1269,113.2661,40.366
XCNAQ060,40.0844,113.2711,42.7873
XCNAQ058,40.1096,113.3819,39.969
XCNAQ1001,25.5811,100.2171,28.4153
XCNAQ1000,25.7054,100.1542,28.3853
XCNAQ320,24.3411,102.4963,24.4505
XCNAQ1035,34.3469,106.005,24.3132
XCNAQ1037,34.5653,105.8614,45.1679
XCNAQ1036,34.5814,105.7281,37.6675
CN_1018A,39.0927,117.202,72.4834
CN_1015A,39.1654,117.145,68.5602
CN_1019A,39.2261,117.185,75.1564
CN_1016A,39.1205,117.184,71.1793
XCNAQ1110,39.1782,117.1901,67.1344
CN_1027A,38.9194,117.157,84.2639
CN_1017A,39.1081,117.237,68.15
CN_1020A,39.1337,117.269,73.7525
CN_1013A,39.097,117.151,70.6611
CN_1014A,39.173,117.193,72.66
CN_1024A,38.8394,117.457,70.2234
CN_1026A,39.1587,117.764,62.9862
CN_1025A,39.124,117.401,66.8347
CN_1023A,39.0343,117.707,75.461
XCNAQ1116,39.1303,117.4029,61.9912
CN_1021A,39.0877,117.307,66.5537
XCNAQ022,23.6503,113.6247,31.3854
CN_1083A,38.0108,112.434,42.0108
CN_1088A,37.9854,112.549,58.5285
CN_1087A,37.8195,112.57,63.6458
CN_1085A,37.7394,112.5583,62.0513
CN_1081A,37.8873,112.522,61.2306
CN_1084A,37.7124,112.469,60.9988
CN_1086A,37.8692,112.5369,55.2021
CN_1082A,37.9103,112.573,58.2964
CN_1089A,37.7805,112.488,68.9753
XCNAQ877,27.7314,112.0194,46.0201
XCNAQ879,27.7044,111.9892,56.2076
XCNAQ878,27.7569,111.9561,62.449
XCNAQ875,27.725,111.9975,55.3427
XCNAQ832,30.9075,113.942,72.1042
XCNAQ831,30.9285,113.9153,72.6021
XCNAQ741,26.6611,119.5392,29.1161
XCNAQ740,26.6607,119.5202,30.5963
XCNAQ739,26.6946,119.5001,25.632
XCNAQ699,30.6145,116.9894,50.0916
XCNAQ696,30.5103,117.0549,57.6531
