fuel_type,Tier,IMOSpeedCode,Load1,NO2_EF_ME,NO2_EF_AE,NO2_EF_AB
HFO,T0,M,0.47,14.0,14.7,2.1
HFO,T0,M,0.48,14.0,14.7,2.1
HFO,T0,M,0.49,14.0,14.7,2.1
HFO,T0,M,0.5,14.0,14.7,2.1
HFO,T0,M,0.51,14.0,14.7,2.1
HFO,T0,M,0.52,14.0,14.7,2.1
HFO,T0,M,0.53,14.0,14.7,2.1
HFO,T0,M,0.54,14.0,14.7,2.1
HFO,T0,M,0.55,14.0,14.7,2.1
HFO,T0,M,0.56,14.0,14.7,2.1
HFO,T0,M,0.57,14.0,14.7,2.1
HFO,T0,M,0.58,14.0,14.7,2.1
HFO,T0,M,0.59,14.0,14.7,2.1
HFO,T0,M,0.6,14.0,14.7,2.1
HFO,T0,M,0.61,14.0,14.7,2.1
HFO,T0,M,0.62,14.0,14.7,2.1
HFO,T0,M,0.63,14.0,14.7,2.1
HFO,T0,M,0.64,14.0,14.7,2.1
HFO,T0,M,0.65,14.0,14.7,2.1
HFO,T0,M,0.66,14.0,14.7,2.1
HFO,T0,M,0.67,14.0,14.7,2.1
HFO,T0,M,0.68,14.0,14.7,2.1
HFO,T0,M,0.69,14.0,14.7,2.1
HFO,T0,M,0.7,14.0,14.7,2.1
HFO,T0,M,0.71,14.0,14.7,2.1
HFO,T0,M,0.72,14.0,14.7,2.1
HFO,T0,M,0.73,14.0,14.7,2.1
HFO,T0,M,0.74,14.0,14.7,2.1
HFO,T0,M,0.75,14.0,14.7,2.1
HFO,T0,M,0.76,14.0,14.7,2.1
HFO,T0,M,0.77,14.0,14.7,2.1
HFO,T0,M,0.78,14.0,14.7,2.1
HFO,T0,M,0.79,14.0,14.7,2.1
HFO,T0,M,0.8,14.0,14.7,2.1
HFO,T0,M,0.81,14.0,14.7,2.1
HFO,T0,M,0.82,14.0,14.7,2.1
HFO,T0,M,0.83,14.0,14.7,2.1
HFO,T0,M,0.84,14.0,14.7,2.1
HFO,T0,M,0.85,14.0,14.7,2.1
HFO,T0,M,0.86,14.0,14.7,2.1
HFO,T0,M,0.87,14.0,14.7,2.1
HFO,T0,M,0.88,14.0,14.7,2.1
HFO,T0,M,0.89,14.0,14.7,2.1
HFO,T0,M,0.9,14.0,14.7,2.1
