ME_type,fuel_type,s_content,Load1,CO2_EF_ME,CO2_EF_AE,CO2_EF_AB,SO2_EF_ME,SO2_EF_AE,SO2_EF_AB,SO4_EF_ME,SO4_EF_AE,SO4_EF_AB,EC_EF_ME,EC_EF_AE,EC_EF_AB,OC_EF_ME,OC_EF_AE,OC_EF_AB,CO_EF_ME,CO_EF_AE,CO_EF_AB,NMVOC_EF_ME,NMVOC_EF_AE,NMVOC_EF_AB,NH3_EF_ME,NH3_EF_AE,NH3_EF_AB
SSD,HFO,2.7,0.31,670.1545123650002,862.578,949.77,11.356306395,14.62,16.1,0.386268925,0.5,0.56,0.08829004000000001,0.08,0.08,0.2264705469419841,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.32,667.58380416,862.578,949.77,11.31274368,14.62,16.1,0.3847872,0.5,0.56,0.08795135999999999,0.08,0.08,0.2254776352888875,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.33,665.068353885,862.578,949.77,11.270117354999998,14.62,16.1,0.383337325,0.5,0.56,0.08761996,0.08,0.08,0.2245387843402416,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.34,662.6081615400002,862.578,949.77,11.22842742,14.62,16.1,0.38191929999999996,0.5,0.56,0.08729584000000001,0.08,0.08,0.22364400497794576,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.35,660.203227125,862.578,949.77,11.187673875,14.62,16.1,0.380533125,0.5,0.56,0.08697900000000001,0.08,0.08,0.22278613424021734,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.36,657.8535506400002,862.578,949.77,11.14785672,14.62,16.1,0.3791788,0.5,0.56,0.08666944000000001,0.08,0.08,0.22196003149697752,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.37,655.559132085,862.578,949.77,11.108975954999998,14.62,16.1,0.377856325,0.5,0.56,0.08636716,0.08,0.08,0.22116200521501075,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.38,653.3199714600001,862.578,949.77,11.07103158,14.62,16.1,0.3765657,0.5,0.56,0.08607216000000001,0.08,0.08,0.22038940324574632,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.39,651.1360687650001,862.578,949.77,11.034023595,14.62,16.1,0.375306925,0.5,0.56,0.08578444000000003,0.08,0.08,0.21964031950574545,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.4,649.007424,862.578,949.77,10.997951999999998,14.62,16.1,0.37408,0.5,0.56,0.085504,0.08,0.08,0.2189133837298296,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
